Name,Balls,Runs,Dot,Other,4,6,not_out
RV Uthappa,3297,4411,1405,1735,1740,936,17
MJ Clarke,91,98,43,50,48,0,0
MK Pandey,2321,2843,908,1381,1012,450,22
SPD Smith,1537,2022,523,1008,720,294,18
M Manhas,463,514,197,282,172,60,15
AD Mathews,566,724,207,374,176,174,11
SC Ganguly,1230,1349,662,549,548,252,3
WD Parnell,72,63,39,41,16,6,3
B Kumar,187,183,94,97,68,18,17
G Gambhir,3329,4217,1357,1895,1968,354,16
BB McCullum,2121,2880,1025,928,1172,780,5
YK Pathan,2192,3204,872,1202,1048,954,43
JH Kallis,2182,2427,982,1143,1020,264,11
DB Das,250,304,124,116,92,96,8
LR Shukla,336,405,152,177,132,96,6
MK Tiwary,1420,1695,571,831,624,240,24
JD Ryder,444,604,200,214,276,114,1
GC Smith,652,739,320,309,376,54,3
AA Jhunjhunwala,206,217,98,111,76,30,2
Yuvraj Singh,2087,2750,976,988,868,894,15
SB Wagh,3,2,2,2,0,0,0
R Sharma,72,66,48,28,20,18,6
AC Blizzard,88,120,48,24,84,12,0
SR Tendulkar,1893,2334,874,976,1184,174,9
AT Rayudu,2572,3300,971,1468,1112,720,25
RG Sharma,3692,4898,1404,2004,1724,1170,28
TL Suman,562,676,255,300,220,156,7
KA Pollard,1819,2755,768,975,724,1056,36
A Symonds,734,974,308,432,296,246,9
Harbhajan Singh,580,829,284,261,316,252,32
PP Shaw,420,598,173,196,288,114,0
S Dhawan,3593,4579,1493,1907,2096,576,20
SS Iyer,1304,1681,542,683,596,402,6
RR Pant,1046,1736,367,564,608,564,6
CA Ingram,177,205,78,87,88,30,3
JL Denly,1,0,1,0,0,0,0
Shubman Gill,372,499,120,237,172,90,8
N Rana,796,1085,343,389,336,360,3
AD Russell,738,1400,319,296,384,720,10
KD Karthik,2755,3654,1040,1620,1428,606,27
CR Brathwaite,107,181,53,45,40,96,1
PP Chawla,506,584,245,260,216,108,28
Kuldeep Yadav,53,44,29,28,16,0,4
Mohammad Hafeez,79,64,51,24,28,12,1
BJ Hodge,1099,1400,439,654,488,258,21
DJ Hussey,1050,1322,425,602,360,360,12
WP Saha,1317,1765,515,771,640,354,19
AB Agarkar,147,179,60,97,52,30,9
SE Marsh,1817,2477,734,945,1064,468,7
JR Hopes,304,417,120,155,196,66,3
KC Sangakkara,1354,1687,552,745,780,162,3
DPMD Jayawardene,1428,1802,618,768,800,234,15
K Goel,223,218,130,96,68,54,2
IK Pathan,911,1139,372,569,348,222,29
L Ronchi,34,34,26,4,24,6,0
ST Jayasuriya,514,768,292,198,336,234,2
SM Pollock,109,147,47,51,48,48,0
DJ Bravo,1121,1483,477,653,464,366,35
AM Nayar,551,672,234,332,220,120,12
MA Khote,19,24,10,10,8,6,1
A Nehra,55,41,37,23,12,6,10
PA Patel,2285,2848,1081,1094,1460,294,10
ML Hayden,774,1107,366,359,484,264,2
MEK Hussey,1576,1977,643,873,792,312,7
SK Raina,3839,5368,1412,2232,1972,1164,28
MS Dhoni,3129,4432,1152,1990,1188,1254,65
JDP Oram,106,106,50,52,24,30,3
S Badrinath,1181,1441,493,657,616,168,18
KS Williamson,946,1302,318,594,444,264,7
AM Rahane,3088,3820,1218,1760,1616,444,16
DJM Short,98,115,48,41,44,30,0
SV Samson,1670,2209,629,995,680,534,9
BA Stokes,473,635,159,313,172,150,4
RA Tripathi,543,758,215,300,296,162,4
JC Buttler,897,1386,362,460,560,366,6
K Gowtham,82,144,33,44,40,60,5
S Gopal,116,127,49,65,56,6,5
DS Kulkarni,104,101,50,61,28,12,10
JD Unadkat,53,55,22,25,24,6,6
B Laughlin,13,5,8,5,0,0,2
YV Takawale,171,192,100,70,104,18,2
V Kohli,4062,5412,1509,2342,1924,1146,26
AB de Villiers,2846,4395,958,1695,1428,1272,32
JA Morkel,667,974,252,400,244,330,27
CA Lynn,895,1280,401,390,512,378,3
SA Yadav,1150,1544,444,622,640,282,16
R Vinay Kumar,267,310,118,172,84,54,15
Mandeep Singh,1200,1529,480,691,640,198,15
M Vohra,756,1012,358,390,388,234,2
DA Miller,1294,1850,465,824,504,522,23
Gurkeerat Singh,332,440,129,186,188,66,3
Azhar Mahmood,294,388,124,154,156,78,2
MS Gony,69,99,39,27,24,48,6
P Kumar,305,340,158,150,88,102,19
P Awana,14,5,9,5,0,0,3
DR Smith,1706,2385,832,703,980,702,4
MJ Lumb,185,278,96,62,180,36,0
NV Ojha,1290,1554,648,596,484,474,19
SR Watson,2517,3575,1125,1141,1372,1062,15
FY Fazal,167,183,74,89,88,6,1
AS Raut,167,194,67,100,52,42,7
M Vijay,2072,2587,962,1069,972,546,5
R Parag,125,160,55,62,68,30,0
AJ Turner,10,3,8,3,0,0,1
STR Binny,670,880,268,406,264,210,20
Q de Kock,1083,1456,476,512,620,324,2
HH Pandya,672,1068,273,372,288,408,24
BCJ Cutting,137,238,58,64,60,114,6
KH Pandya,599,891,236,337,344,210,11
DA Warner,3224,4706,1278,1788,1832,1086,17
AJ Finch,1280,1737,583,631,704,402,6
DJG Sammy,232,295,108,127,60,108,5
Y Venugopal Rao,812,985,355,455,308,222,8
F du Plessis,1444,1853,546,847,652,354,5
RJ Peterson,28,32,15,14,12,6,2
SL Malinga,96,88,59,34,24,30,6
RP Singh,71,52,41,38,8,6,14
V Sehwag,1691,2728,737,756,1336,636,5
KP Pietersen,724,1001,290,397,364,240,8
LRPL Taylor,794,1017,334,477,264,276,14
Y Nagar,249,285,113,151,80,54,6
S Nadeem,76,32,53,28,4,0,5
VR Aaron,61,49,34,29,8,12,6
CH Gayle,2885,4484,1458,1052,1476,1956,15
KL Rahul,1404,1977,531,787,704,486,11
Sachin Baby,98,137,40,63,44,30,2
MA Agarwal,973,1266,431,486,468,312,3
KK Nair,1117,1464,460,598,632,234,4
AR Patel,621,796,222,398,188,210,20
MP Stoinis,358,473,133,229,136,108,10
JC Archer,59,82,23,34,24,24,4
E Lewis,323,430,167,130,144,156,0
SW Billings,242,334,91,150,124,60,0
RS Bopara,446,531,175,279,156,96,4
MC Henriques,741,969,272,459,348,162,16
R Ashwin,331,375,141,187,128,60,15
AJ Tye,64,85,33,37,24,24,4
BB Sran,12,10,5,10,0,0,6
MM Sharma,115,122,54,62,36,24,11
SP Narine,441,771,230,135,372,264,11
JPR Scantlebury-Searles,6,8,3,2,0,6,1
Bipul Sharma,121,187,34,89,44,54,9
Rashid Khan,61,104,29,30,20,54,5
S Kaul,28,12,20,12,0,0,3
DT Christian,365,446,132,244,88,114,9
Washington Sundar,49,75,25,31,20,24,6
SN Thakur,21,36,7,10,20,6,3
PA Reddy,160,164,72,92,60,12,0
GH Vihari,316,284,146,186,92,6,3
CL White,744,954,274,434,304,216,9
A Ashish Reddy,191,280,61,126,64,90,8
NLTC Perera,297,422,129,174,92,156,8
A Mishra,378,362,182,216,116,30,25
DW Steyn,155,166,71,92,56,18,10
J Botha,351,409,138,223,156,30,8
MC Juneja,125,125,54,75,44,6,0
KM Jadhav,827,1079,322,483,368,228,23
M Morkel,89,126,35,52,44,30,10
UT Yadav,124,122,68,54,44,24,20
R Dravid,1844,2174,819,930,1076,168,5
JP Faulkner,378,527,144,245,144,138,20
MR Marsh,193,225,84,105,36,84,2
TM Dilshan,971,1153,492,449,560,144,7
AL Menaria,352,401,152,197,96,108,2
DH Yagnik,126,170,62,66,92,12,7
DJ Hooda,407,524,151,272,108,144,9
HM Amla,397,577,150,211,240,126,3
RA Jadeja,1532,1927,590,997,540,390,45
SB Jakati,29,28,12,16,12,0,4
KMA Paul,22,18,17,8,4,6,1
R Tewatia,81,111,37,49,44,18,6
SA Asnodkar,327,423,164,139,224,60,0
P Dogra,137,127,63,81,16,30,1
AD Mascarenhas,77,79,29,53,20,6,2
A Uniyal,7,4,3,4,0,0,1
MN Samuels,163,161,86,83,36,42,1
JP Duminy,1595,2029,562,1051,504,474,24
BB Samantray,110,125,48,61,52,12,3
S Rana,77,91,33,49,36,6,4
MA Starc,93,96,41,56,40,0,4
Shakib Al Hasan,575,746,222,346,280,120,11
RN ten Doeschate,229,326,80,132,104,90,7
R Bhatia,277,342,110,168,96,78,17
RE Levi,69,83,41,19,40,24,0
JEC Franklin,294,327,124,173,100,54,5
IR Jaggi,95,76,51,52,24,0,2
B Chipli,247,280,110,126,112,42,6
V Pratap Singh,1,0,1,0,0,0,0
P Negi,280,365,124,161,108,96,9
EJG Morgan,685,854,312,362,288,204,5
KV Sharma,263,317,116,161,72,84,13
AP Tare,267,339,142,113,160,66,3
CJ Anderson,416,538,200,192,160,186,7
CM Gautam,140,169,84,65,68,36,3
Ishan Kishan,522,695,240,235,256,204,0
SN Khan,280,408,93,162,180,66,7
SM Curran,55,95,21,25,52,18,4
AC Gilchrist,1438,2069,737,561,956,552,4
PC Valthaty,408,505,230,141,244,120,1
CJ Ferguson,116,98,58,62,36,0,2
HH Gibbs,781,886,410,368,332,186,4
MD Mishra,202,237,102,93,96,48,1
CA Pujara,381,390,200,166,200,24,3
SS Tiwary,1043,1276,425,634,372,270,19
SM Katich,178,241,85,89,104,48,1
TM Srivastava,11,8,5,8,0,0,2
R Bishnoi,17,19,11,3,4,12,0
SP Goswami,287,293,139,147,128,18,1
MV Boucher,299,394,116,188,128,78,9
RE van der Merwe,139,159,66,67,44,48,4
A Kumble,45,35,24,23,12,0,12
KP Appanna,3,2,2,2,0,0,2
CH Morris,323,517,103,207,148,162,18
VVS Laxman,260,282,123,120,132,30,1
Anirudh Singh,66,63,34,33,24,6,0
AA Bilakhia,81,69,43,49,20,0,2
RJ Harris,110,117,46,75,24,18,9
SK Warne,208,198,105,106,56,36,9
AP Dole,22,34,7,16,12,6,0
SK Trivedi,58,42,37,24,12,6,7
NJ Maddinson,21,20,15,4,16,0,0
D Wiese,88,127,29,55,48,24,4
HV Patel,68,107,24,41,12,54,4
Iqbal Abdulla,77,88,36,46,36,6,11
GJ Maxwell,830,1397,355,411,440,546,6
RR Sarwan,74,73,34,43,24,6,0
VRV Singh,2,4,2,0,4,0,0
U Kaul,1,0,1,0,0,0,1
S Vidyut,108,145,55,43,84,18,0
SP Fleming,158,196,86,70,108,18,1
GJ Bailey,530,663,207,313,236,114,9
MG Johnson,156,167,80,85,40,42,15
Anureet Singh,43,36,22,22,8,6,4
Karanveer Singh,17,12,9,8,4,0,3
Sandeep Sharma,40,32,19,24,8,0,13
S Sohal,283,368,158,124,136,108,0
WA Mota,73,56,30,48,8,0,2
LA Pomersbach,233,302,109,124,100,78,5
B Lee,94,124,46,44,32,48,9
S Sreesanth,50,34,43,10,24,0,8
TG Southee,89,115,34,59,32,24,5
MS Bisla,676,798,375,288,372,138,1
OA Shah,376,506,149,232,136,138,7
PJ Cummins,53,77,21,33,20,24,3
Z Khan,137,117,74,61,44,12,13
Vishnu Vinod,26,19,15,9,4,6,0
TS Mills,10,8,8,2,0,6,0
NM Coulter-Nile,50,52,31,16,12,24,3
DJ Harris,99,111,52,37,44,30,0
MJ McClenaghan,67,85,39,23,20,42,8
M Markande,26,27,15,15,12,0,4
Shoaib Malik,45,52,16,32,20,0,1
PJ Sangwan,38,24,23,20,4,0,6
VY Mahesh,26,15,15,15,0,0,3
Mohammad Asif,6,3,3,3,0,0,0
GD McGrath,5,4,4,0,4,0,1
DJ Thornely,49,39,31,19,8,12,1
RR Raje,18,20,6,10,4,6,4
AN Ghosh,8,7,5,3,4,0,0
LMP Simmons,835,1079,402,379,436,264,2
S Aravind,54,59,26,31,28,0,7
R McLaren,167,159,76,97,56,6,5
L Balaji,46,36,29,22,8,6,6
PP Ojha,40,16,30,16,0,0,8
Sunny Singh,30,43,12,13,24,6,1
AD Nath,98,90,45,50,28,12,0
JM Bairstow,277,445,103,145,192,108,2
V Shankar,410,557,133,277,136,144,9
Mohammad Nabi,89,135,35,49,44,42,1
K Rabada,77,69,42,37,20,12,1
R Sathish,222,270,92,146,88,36,7
M Kaif,244,259,120,135,88,36,4
Kamran Akmal,75,128,33,28,52,48,1
DS Lehmann,17,18,10,6,12,0,0
A Flintoff,50,62,24,30,20,12,1
Joginder Sharma,30,36,10,20,4,12,1
T Thushara,18,12,10,12,0,0,2
MF Maharoof,120,177,44,75,48,54,4
SD Chitnis,87,99,38,47,40,12,1
PR Shah,85,92,50,44,36,12,1
J Theron,12,10,6,6,4,0,2
UBT Chand,292,300,170,118,128,54,0
AB McDonald,96,123,38,63,36,24,4
DL Vettori,103,121,46,65,44,12,8
N Saini,138,140,68,76,64,0,0
B Sumanth,37,35,15,23,12,0,3
C Munro,139,177,68,53,76,48,0
S Badree,23,13,14,13,0,0,0
YS Chahal,47,21,31,21,0,0,7
C de Grandhomme,219,303,86,123,72,108,5
CR Woakes,66,63,31,31,20,12,5
AG Paunikar,54,49,41,13,36,0,0
MM Ali,172,297,68,79,80,138,2
JJ Bumrah,36,35,17,21,8,6,7
S Anirudha,108,136,54,58,36,42,4
S Randiv,4,2,3,2,0,0,0
DE Bollinger,21,21,11,11,4,6,3
Niraj Patel,117,121,61,59,56,6,2
DM Bravo,5,6,2,2,4,0,1
NS Naik,46,30,29,22,8,0,0
R Dhawan,132,153,56,77,52,24,9
X Thalaivan Sargunam,17,10,9,10,0,0,0
DB Ravi Teja,304,375,124,181,140,54,6
FH Edwards,5,4,3,4,0,0,1
W Jaffer,120,130,64,56,56,18,0
A Mukund,22,19,9,15,4,0,0
T Kohli,19,11,14,5,0,6,0
AS Rajpoot,30,17,21,9,8,0,1
RT Ponting,123,91,69,59,20,12,0
RK Bhui,17,7,13,7,0,0,0
Abhishek Sharma,40,72,13,26,16,30,3
KK Ahmed,1,0,1,0,0,0,0
JDS Neesham,45,42,25,24,12,6,0
JM Kemp,24,26,11,16,4,6,0
SP Jackson,31,38,10,18,20,0,1
AR Bawne,12,12,4,8,4,0,1
TA Boult,14,12,9,6,0,6,2
DJ Jacobs,92,92,62,28,40,24,0
AG Murtaza,14,10,7,6,4,0,2
LJ Wright,59,106,22,24,64,18,0
N Pooran,104,168,49,44,40,84,0
Mujeeb Ur Rahman,9,10,7,2,8,0,2
SB Styris,129,131,53,73,40,18,3
AS Yadav,37,49,18,17,20,12,1
Shahid Afridi,45,81,20,17,28,36,1
Ankit Sharma,67,87,29,35,28,24,3
RD Chahar,13,15,6,7,8,0,3
LH Ferguson,1,1,0,1,0,0,1
Salman Butt,155,193,86,61,120,12,0
A Chopra,70,53,45,25,28,0,0
T Taibu,26,31,9,19,12,0,0
CK Kapugedera,21,16,10,16,0,0,0
BR Dunk,33,40,20,12,28,0,0
J Suchith,46,54,21,26,16,12,4
MJ Guptill,194,270,88,84,96,90,1
Swapnil Singh,20,12,10,12,0,0,0
AB Barath,41,42,22,16,20,6,1
WPUJC Vaas,70,81,24,55,8,18,3
Jaskaran Singh,11,8,5,8,0,0,3
CRD Fernando,3,4,0,4,0,0,2
F Behardien,13,14,5,6,8,0,1
TM Head,146,205,43,109,48,48,3
KAJ Roach,9,10,3,6,4,0,0
VH Zol,26,29,13,11,12,6,0
T Henderson,15,11,11,5,0,6,0
M Rawat,66,55,34,33,16,6,6
MM Patel,40,39,18,19,20,0,6
Kamran Khan,5,3,3,3,0,0,0
B Akhil,53,76,26,26,20,30,5
Basil Thampi,33,32,16,22,4,6,6
Ankit Soni,7,7,7,1,0,6,1
SJ Srivastava,5,5,1,5,0,0,3
AC Voges,137,181,44,103,60,18,3
AA Chavan,11,12,5,4,8,0,1
SW Tait,26,23,11,13,4,6,2
ND Doshi,13,0,13,0,0,0,0
S Ladda,9,0,10,0,0,0,1
DP Nannes,13,4,9,4,0,0,1
UT Khawaja,98,127,43,53,56,18,0
MN van Wyk,127,167,44,85,76,6,2
GR Napier,16,15,7,11,4,0,0
Misbah-ul-Haq,79,117,31,41,40,36,1
DT Patil,13,13,5,9,4,0,0
AB Dinda,46,26,31,18,8,0,6
M Ntini,18,11,15,3,8,0,1
Pankaj Singh,12,7,6,7,0,0,3
AD Hales,116,148,48,60,52,36,0
JJ Roy,131,179,60,59,72,48,2
M Muralitharan,28,20,17,16,4,0,3
KK Cooper,66,116,29,32,36,48,3
GB Hogg,22,22,5,18,4,0,1
JJ van der Wath,16,18,8,8,4,6,1
R Ninan,5,3,3,3,0,0,0
BJ Haddin,11,18,5,4,8,6,0
KW Richardson,39,36,17,22,8,6,1
Parvez Rasool,19,17,7,13,4,0,2
SB Bangar,55,49,28,27,4,18,1
Shivam Sharma,3,5,1,1,4,0,1
A Mithun,24,34,11,12,16,6,1
J Syed Mohammad,26,29,11,13,16,0,3
A Singh,9,2,8,2,0,0,1
AA Noffke,10,9,6,5,4,0,0
SB Joshi,14,6,10,6,0,0,0
SE Rutherford,52,73,26,23,8,42,2
I Sharma,59,55,32,27,16,12,12
PD Collingwood,153,203,60,89,36,78,2
AF Milne,12,7,6,7,0,0,1
KB Arun Karthik,46,51,24,29,16,6,3
R Rampaul,47,51,26,27,12,12,2
ER Dwivedi,13,24,7,4,8,12,0
SO Hetmyer,73,90,34,32,16,42,0
S Dube,33,40,12,18,4,18,1
P Ray Barman,24,19,12,11,8,0,0
Mohammed Siraj,33,29,20,15,8,6,3
Imran Tahir,27,20,17,8,12,0,3
DNT Zoysa,7,11,3,7,4,0,1
D Kalyankrishna,7,3,5,3,0,0,0
AUK Pathan,23,39,14,7,20,12,2
RR Rossouw,50,53,25,23,12,18,0
Sohail Tanvir,28,36,11,18,12,6,2
MK Lomror,24,28,9,16,12,0,1
P Sahu,13,19,4,9,4,6,1
M Ashwin,8,4,4,4,0,0,2
LA Carseldine,65,81,31,37,44,0,1
SM Harwood,10,9,7,9,0,0,2
RK Singh,65,66,30,34,20,12,1
RR Bhatkal,2,0,2,0,0,0,0
BE Hendricks,3,1,2,1,0,0,1
RR Powar,63,67,27,37,24,6,6
YA Abdulla,0,0,1,0,0,0,1
H Klaasen,56,66,20,40,20,6,1
AP Majumdar,74,87,28,47,28,12,0
LE Plunkett,3,1,2,1,0,0,1
SD Lad,13,15,8,5,4,6,0
AS Joseph,13,15,6,7,8,0,1
DL Chahar,44,71,15,27,8,36,1
MA Wood,3,1,4,1,0,0,0
Mohammed Shami,51,54,27,22,20,12,7
TK Curran,27,23,14,11,12,0,1
SMSM Senanayake,16,10,8,10,0,0,3
BJ Rohrer,136,193,56,79,84,30,2
RV Gomez,48,50,27,24,20,6,4
B Stanlake,2,5,0,1,4,0,1
UA Birla,14,7,11,3,4,0,0
K Upadhyay,9,12,3,6,0,6,2
A Zampa,8,5,6,1,4,0,0
Rasikh Salam,4,5,1,5,0,0,1
M Kartik,105,113,32,79,28,6,7
JO Holder,29,38,18,10,16,12,0
AC Thomas,19,20,8,10,4,6,2
A Chandila,7,4,3,4,0,0,2
BA Bhatt,7,6,6,0,0,6,1
MJ Santner,22,32,10,14,0,18,1
LPC Silva,24,40,10,14,20,6,1
S Sriram,35,31,18,19,12,0,0
BAW Mendis,6,3,3,3,0,0,1
CK Langeveldt,9,8,6,2,0,6,0
Harpreet Singh,26,20,8,20,0,0,1
NL McCullum,21,26,8,20,0,6,1
L Ablish,2,0,2,0,0,0,1
P Parameswaran,2,1,2,1,0,0,2
RS Sodhi,2,4,1,0,4,0,1
Shivam Mavi,15,13,7,9,4,0,0
Umar Gul,17,39,8,5,4,30,1
CJ McKay,15,8,8,8,0,0,0
S Narwal,27,37,12,13,24,0,1
Younis Khan,7,3,4,3,0,0,0
D Salunkhe,24,33,8,13,20,0,1
H Das,5,2,3,2,0,0,0
AN Ahmed,25,36,11,14,16,6,5
CJ Jordan,4,3,3,3,0,0,0
KJ Abbott,8,13,3,7,0,6,2
RS Gavaskar,8,2,6,2,0,0,0
SE Bond,2,1,1,1,0,0,0
Mohammad Ashraful,9,2,10,2,0,0,0
Shoaib Ahmed,6,1,5,1,0,0,1
TR Birt,56,75,27,27,36,12,0
MS Wade,32,22,15,22,0,0,0
DR Martyn,24,19,10,15,4,0,0
J Yadav,10,6,6,6,0,0,0
JE Taylor,3,3,2,3,0,0,1
Harpreet Brar,12,20,5,6,8,6,1
GC Viljoen,5,3,5,3,0,0,1
Yashpal Singh,65,47,39,27,20,0,0
PSP Handscomb,12,6,6,6,0,0,0
TD Paine,24,10,19,10,0,0,0
SA Abbott,12,15,7,5,4,6,0
Harmeet Singh,12,18,5,6,12,0,1
IS Sodhi,17,7,11,7,0,0,0
R Shukla,23,19,10,11,8,0,3
KC Cariappa,21,24,8,12,0,12,2
KMDN Kulasekara,2,5,1,1,4,0,1
M Prasidh Krishna,7,1,6,1,0,0,1
HF Gurney,5,1,4,1,0,0,1
P Chopra,6,8,4,0,8,0,0
Sunny Gupta,1,0,1,0,0,0,0
NA Saini,3,2,2,2,0,0,1
C Nanda,1,0,1,0,0,0,0
RJ Quiney,97,103,57,37,48,18,0
LS Livingstone,46,70,23,16,24,30,1
RG More,2,2,0,2,0,0,1
BMAJ Mendis,27,23,8,23,0,0,0
M Klinger,74,73,36,37,36,0,0
A Dananjaya,5,4,2,4,0,0,1
DJ Muthuswami,3,1,2,1,0,0,0
SS Shaikh,7,6,4,2,4,0,0
A Choudhary,20,25,4,15,4,6,2
VS Yeligati,2,2,1,2,0,0,0
DR Shorey,17,13,12,7,0,6,0
PV Tambe,37,18,24,14,4,0,4
IC Pandey,2,0,2,0,0,0,0
NJ Rimmington,1,1,0,1,0,0,1
S Chanderpaul,31,25,20,9,16,0,0
Shoaib Akhtar,7,2,6,2,0,0,0
J Arunkumar,22,23,16,3,20,0,0
M de Lange,2,1,1,1,0,0,0
Avesh Khan,3,4,2,0,4,0,1
S Lamichhane,1,0,1,0,0,0,0
I Malhotra,4,7,0,3,4,0,1
MDKJ Perera,12,14,8,2,12,0,0
Mashrafe Mortaza,2,2,1,2,0,0,1
VS Malik,6,7,3,3,4,0,1
S Kaushik,1,0,1,0,0,0,0
P Simran Singh,17,16,11,6,4,6,0
Mustafizur Rahman,3,1,2,1,0,0,0
Y Prithvi Raj,1,0,1,0,0,0,1
Abdur Razzak,2,0,2,0,0,0,1
PM Sarvesh Kumar,2,1,1,1,0,0,1
DP Vijaykumar,1,1,0,1,0,0,1
C Madan,17,15,15,3,12,0,0
D du Preez,13,10,5,10,0,0,0
S Tyagi,4,3,1,3,0,0,1
DAJ Bracewell,9,12,1,8,4,0,1
Y Gnaneswara Rao,17,19,9,7,12,0,0
