Name,Balls,Runs,Dot,Other,4,6,Wicket
Iqbal Abdulla,154,1125,369,509,352,222,40
M de Lange,18,171,48,49,84,24,5
JH Kallis,291,2348,693,930,944,348,65
SP Narine,428,2900,1114,1354,880,552,122
R Bhatia,274,2059,490,1098,480,408,71
YK Pathan,193,1443,456,634,396,342,42
M Kartik,192,1418,433,707,388,246,31
AB Dinda,255,2103,711,711,928,348,69
B Kumar,439,3233,1273,1222,1292,522,133
WD Parnell,97,731,283,265,320,66,27
MJ Clarke,11,72,24,39,16,12,2
AD Mathews,133,1095,253,488,392,174,27
Harbhajan Singh,563,4038,1368,1860,1156,852,150
MM Patel,227,1733,634,600,752,318,74
DS Kulkarni,292,2443,832,768,1068,462,86
SL Malinga,476,3486,1358,1421,1256,516,170
A Symonds,88,694,219,282,176,198,20
KA Pollard,202,1785,417,754,556,378,56
AC Thomas,53,416,143,164,164,66,14
SB Wagh,17,147,56,35,84,12,5
JE Taylor,19,167,59,58,40,54,6
Yuvraj Singh,146,1091,282,582,236,246,36
R Sharma,155,1100,351,529,280,270,40
JD Ryder,40,314,89,135,84,78,8
M Prasidh Krishna,69,645,176,187,308,120,14
LH Ferguson,30,281,87,80,116,66,5
AD Russell,175,1565,412,521,612,366,55
Kuldeep Yadav,138,1156,268,511,244,366,39
PP Chawla,525,4139,1165,1769,1212,1026,150
CR Brathwaite,44,384,89,143,148,72,13
N Rana,16,120,38,44,48,24,7
I Sharma,319,2655,955,805,1212,444,71
CH Morris,214,1754,566,641,672,342,69
K Rabada,69,573,183,204,236,90,31
AR Patel,286,2173,626,1006,552,534,71
KMA Paul,28,239,67,96,72,48,9
S Sreesanth,148,1221,471,358,520,234,41
IK Pathan,345,2711,954,905,1172,492,80
VRV Singh,60,549,128,203,232,96,12
Gagandeep Singh,14,142,26,49,56,36,3
JR Hopes,60,562,128,195,176,168,14
AB Agarkar,131,1174,310,414,452,246,29
Mohammad Hafeez,10,71,28,29,20,12,2
DJ Hussey,53,485,98,197,120,150,8
Umar Gul,23,198,73,68,68,30,12
JDP Oram,40,362,92,122,136,84,9
MS Gony,148,1317,401,392,540,318,37
Joginder Sharma,43,421,83,148,152,102,12
P Amarnath,22,241,34,78,116,42,7
M Muralitharan,255,1755,693,820,416,396,63
SM Pollock,46,307,136,123,120,54,11
A Nehra,320,2537,888,850,1116,456,106
DJ Bravo,436,3689,997,1518,1160,810,147
VS Yeligati,5,61,10,13,28,12,0
AM Nayar,39,323,80,145,88,78,9
MA Khote,5,52,6,23,16,12,2
JD Unadkat,254,2218,560,823,764,570,78
K Gowtham,60,492,134,186,196,90,12
B Laughlin,29,284,54,107,104,60,10
S Gopal,99,744,215,343,156,234,38
BA Stokes,98,834,251,303,344,132,26
DJM Short,3,23,8,9,4,6,1
B Stanlake,24,200,70,64,76,54,7
Shakib Al Hasan,224,1676,503,767,436,414,59
S Kaul,164,1412,353,545,504,306,49
Rashid Khan,182,1221,473,542,360,276,55
UT Yadav,415,3586,1108,1161,1528,678,119
M Morkel,272,2136,804,719,920,366,77
R Vinay Kumar,357,3021,850,1134,1184,588,105
MA Starc,97,725,287,300,308,48,34
JA Morkel,288,2409,762,864,1056,336,85
VR Aaron,154,1378,445,421,568,276,42
YS Chahal,301,2368,718,998,540,714,100
MG Johnson,207,1734,617,518,780,330,61
PP Ojha,318,2399,753,1095,584,582,89
P Kumar,423,3342,1260,1130,1352,624,90
Azhar Mahmood,91,707,219,281,292,108,29
P Awana,125,1046,332,362,428,210,39
DE Bollinger,96,716,292,257,292,114,38
S Tyagi,35,304,109,76,136,72,6
SB Jakati,182,1474,370,674,388,360,47
SK Raina,154,1139,321,548,284,264,25
S Narwal,18,203,45,49,68,78,5
SW Tait,81,668,281,201,284,72,24
SR Watson,339,2742,952,955,1172,444,92
SK Warne,199,1465,471,708,364,336,57
AA Jhunjhunwala,15,130,31,56,40,30,1
HH Pandya,146,1340,348,454,460,354,42
KH Pandya,159,1143,334,590,312,198,40
RD Chahar,54,369,151,151,92,114,15
JJ Bumrah,290,2235,729,945,780,396,82
M Markande,50,435,103,158,144,120,16
STR Binny,99,763,221,353,304,84,23
JC Archer,83,635,239,230,208,156,26
R Parag,14,121,18,65,32,24,2
MM Sharma,293,2443,690,876,1040,468,91
R Ashwin,489,3363,1199,1682,788,726,125
JW Hastings,10,66,34,19,44,0,3
RA Jadeja,419,3197,896,1515,792,786,108
P Negi,121,954,266,412,228,282,35
DW Steyn,352,2434,1130,901,1080,282,96
KV Sharma,187,1480,418,624,316,492,55
Parvez Rasool,33,273,64,114,88,66,4
DJG Sammy,40,354,82,137,132,72,11
S Nadeem,211,1585,452,752,396,396,42
RP Singh,298,2417,879,800,1016,420,90
R Shukla,20,217,53,60,84,54,5
RJ Peterson,8,70,21,20,20,30,3
B Lee,147,1126,435,400,492,150,25
PJ Sangwan,134,1201,359,389,472,258,35
S Aravind,128,1057,330,359,420,228,45
CJ Jordan,33,311,81,111,96,72,12
TG Southee,148,1316,388,453,540,252,28
MJ McClenaghan,213,1839,599,570,724,432,71
Anureet Singh,69,636,166,209,260,132,18
AS Rajpoot,72,638,201,188,284,114,22
Mujeeb Ur Rahman,61,485,145,213,136,108,17
AJ Tye,99,838,218,350,292,156,39
MP Stoinis,62,582,113,215,204,138,15
DL Chahar,116,884,368,274,420,144,33
SN Thakur,118,1076,310,352,420,252,36
Imran Tahir,206,1635,439,722,372,480,79
BCJ Cutting,48,430,85,156,176,90,10
MC Henriques,151,1255,311,510,480,222,38
Bipul Sharma,72,581,149,259,112,186,17
RS Bopara,35,301,73,116,100,60,11
J Botha,116,818,283,397,240,144,25
JPR Scantlebury-Searles,7,89,10,28,16,42,2
BB Sran,81,767,207,252,292,174,19
Washington Sundar,59,458,139,179,120,144,16
DT Christian,131,1062,321,445,352,204,34
NLTC Perera,119,1031,253,378,452,168,31
Anand Rajan,25,206,75,72,68,48,8
A Mishra,520,3841,1202,1825,872,1020,157
K Upadhyay,9,81,22,25,36,18,0
A Chandila,39,245,105,114,68,60,11
JP Faulkner,206,1827,484,697,636,390,59
KK Cooper,96,789,233,351,236,138,33
SK Trivedi,252,1944,572,918,616,306,65
Pankaj Singh,50,472,125,143,208,102,11
LRPL Taylor,2,24,1,11,0,12,0
AL Menaria,19,144,43,56,60,24,3
Z Khan,370,2860,1005,1059,1248,384,103
CK Langeveldt,26,199,84,62,68,48,13
CH Gayle,92,750,224,317,196,162,18
V Kohli,43,371,64,188,100,66,4
AA Kazi,2,21,3,10,4,6,0
Sandeep Sharma,291,2312,817,810,916,480,95
M Vijay,6,49,9,24,24,0,0
GJ Maxwell,70,615,143,248,156,192,16
Mustafizur Rahman,92,693,217,316,224,132,24
KP Pietersen,29,218,63,111,40,54,7
RE van der Merwe,74,515,171,284,100,102,21
R Tewatia,50,357,117,161,68,120,14
AD Mascarenhas,52,365,132,169,136,48,19
A Uniyal,6,67,11,22,24,18,2
MF Maharoof,70,532,196,214,184,96,27
DP Nannes,110,815,347,288,356,90,28
S Ladda,23,225,51,71,48,102,5
Ankit Sharma,62,453,147,216,112,108,12
JP Duminy,114,847,265,392,212,198,23
V Pratap Singh,34,300,82,105,124,60,10
A Ashish Reddy,45,400,89,162,104,120,18
S Dhawan,8,72,21,19,28,18,4
MN Samuels,36,285,85,114,92,72,9
SC Ganguly,46,370,85,175,100,84,10
AN Ahmed,58,515,144,175,172,120,12
PV Tambe,110,866,229,410,256,168,28
RN ten Doeschate,13,94,27,54,16,18,2
JEC Franklin,26,225,43,96,84,36,9
TA Boult,128,1139,341,352,500,228,38
RG More,6,63,7,31,20,6,1
CJ Anderson,50,525,104,151,208,138,11
RG Sharma,56,449,104,233,108,84,15
Mohammed Shami,173,1581,426,501,632,354,40
LR Shukla,54,458,127,177,156,96,15
J Yadav,37,247,93,122,72,48,5
Y Venugopal Rao,36,338,66,131,120,78,6
SM Curran,33,325,69,118,124,72,10
M Ashwin,70,556,152,251,160,120,15
SN Khan,1,6,0,2,4,0,0
NA Saini,48,410,147,106,196,84,11
Mohammed Siraj,93,857,238,263,288,258,29
MM Ali,39,267,93,121,64,78,9
Harmeet Singh,88,713,223,281,264,120,26
MB Parmar,3,33,5,8,24,0,0
SE Bond,31,225,81,92,108,18,9
KAJ Roach,8,80,24,18,40,18,0
Jaskaran Singh,17,174,49,46,92,24,6
TM Dilshan,46,368,85,163,108,90,5
HV Patel,140,1245,340,429,464,282,43
DL Vettori,131,894,291,459,268,144,28
KP Appanna,36,291,76,132,80,66,9
A Kumble,162,1089,410,529,288,210,45
VS Malik,34,268,94,98,120,36,6
YA Abdulla,35,311,104,88,128,78,15
RR Powar,71,538,191,229,164,108,13
IC Pandey,77,609,229,174,308,102,18
DJ Hooda,38,316,72,141,88,72,7
JO Holder,36,313,94,112,116,66,5
AP Dole,11,114,28,37,44,24,5
RJ Harris,139,1085,422,360,476,162,45
DR Smith,90,825,194,289,300,198,26
BW Hilfenhaus,62,497,200,143,192,126,22
D Wiese,47,409,93,160,176,54,16
KJ Abbott,16,182,35,50,96,24,2
P Sahu,18,152,29,70,44,30,3
CK Kapugedera,3,49,0,11,20,18,0
L Balaji,256,2083,641,786,752,414,76
Karanveer Singh,34,323,75,122,76,114,12
K Goel,11,94,21,44,36,12,0
RR Raje,24,214,45,84,92,24,6
AM Rahane,1,5,2,5,0,0,1
ST Jayasuriya,49,396,93,191,88,96,13
NM Coulter-Nile,95,739,281,232,344,120,36
A Singh,80,639,212,233,268,102,28
AA Chavan,42,339,117,110,112,96,8
GB Hogg,77,585,177,266,160,126,23
TS Mills,18,157,49,48,60,36,5
PJ Cummins,60,525,153,193,188,96,17
DJ Muthuswami,14,108,47,27,56,18,4
TP Sudhindra,12,137,22,42,36,54,1
DJ Thornely,7,40,21,18,20,0,3
GD McGrath,54,366,166,128,164,60,12
Mohammad Asif,32,307,77,93,148,48,8
VY Mahesh,57,511,143,170,188,120,21
V Sehwag,23,236,46,61,76,96,6
Shoaib Malik,9,87,23,31,28,18,2
BAW Mendis,40,288,83,153,64,60,8
B Akhil,32,246,69,109,72,54,6
R McLaren,59,558,144,178,276,66,12
Y Nagar,11,125,20,37,44,36,4
SJ Srivastava,47,444,130,131,200,78,14
PC Valthaty,26,207,48,97,60,42,7
Shivam Mavi,28,273,74,74,88,96,5
TK Curran,11,118,16,37,24,54,6
S Lamichhane,35,297,78,105,84,102,13
Mohammad Nabi,46,307,116,137,84,78,11
R Rampaul,44,308,143,114,96,78,14
MG Neser,4,62,5,13,24,24,0
WA Mota,12,98,27,48,16,30,4
D Salunkhe,8,80,18,28,24,18,1
T Thushara,23,164,67,68,60,24,8
A Flintoff,11,106,21,35,28,42,2
A Nel,3,31,7,7,12,12,1
B Geeves,8,91,16,16,68,6,1
Shivam Sharma,19,165,37,69,36,60,4
J Suchith,45,397,89,167,124,96,12
J Theron,36,302,86,119,112,48,9
R Dhawan,82,655,183,306,204,96,18
A Zampa,37,281,77,138,48,84,19
AB McDonald,31,263,54,113,80,66,11
MR Marsh,54,420,129,162,156,84,20
CR Woakes,63,589,162,172,232,150,25
C de Grandhomme,37,323,75,135,88,78,6
S Badree,43,329,119,113,112,84,11
ND Doshi,10,79,25,22,20,36,2
HF Gurney,27,239,57,97,92,42,7
KC Cariappa,36,349,69,134,92,114,8
R Sathish,24,233,36,95,72,60,3
S Randiv,29,223,66,107,80,30,6
CRD Fernando,39,306,119,105,120,54,17
Sohail Tanvir,42,275,148,96,108,42,22
RA Tripathi,1,12,0,4,8,0,0
A Mithun,48,477,114,154,168,126,7
S Kaushik,34,304,78,107,100,84,6
FH Edwards,24,160,84,52,80,12,5
SB Joshi,10,82,18,28,24,30,1
M Ntini,35,257,110,74,116,48,7
C Munro,2,15,5,5,4,6,0
KW Richardson,53,450,140,152,140,138,19
KK Ahmed,38,331,108,97,124,90,20
Abhishek Sharma,2,21,1,10,4,6,1
V Shankar,14,147,30,47,56,36,2
JDS Neesham,9,96,19,28,36,24,1
JM Kemp,9,58,21,21,24,6,3
AG Murtaza,44,322,111,132,88,84,9
BA Bhatt,50,408,104,171,140,78,12
MK Tiwary,7,83,12,28,8,42,1
LJ Wright,12,125,19,46,20,54,2
Arshdeep Singh,10,117,25,32,48,24,3
Mandeep Singh,2,26,1,10,4,12,0
IS Sodhi,31,204,67,117,36,48,9
SMSM Senanayake,32,211,78,108,68,30,9
DP Vijaykumar,26,205,74,70,92,30,4
Shahid Afridi,30,237,70,102,76,42,9
PM Sarvesh Kumar,5,42,12,13,28,0,1
SB Styris,36,278,91,110,76,84,8
Basil Thampi,68,658,129,224,232,180,16
Shoaib Akhtar,7,54,27,14,24,12,5
MJ Henry,5,71,8,12,28,30,1
Swapnil Singh,10,90,11,49,4,36,1
WPUJC Vaas,47,364,138,107,160,78,18
KMDN Kulasekara,17,122,52,51,64,0,5
Kamran Khan,27,233,79,66,88,60,9
T Henderson,6,41,15,20,20,0,1
Ankit Soni,19,145,41,67,32,42,2
AC Voges,9,76,17,30,32,12,0
P Parameswaran,27,226,70,67,92,60,9
P Prasanth,1,18,3,0,0,18,0
BJ Hodge,39,310,83,142,68,84,17
Y Gnaneswara Rao,1,7,3,3,4,0,0
GR Napier,4,28,9,13,8,6,1
LE Plunkett,25,228,46,89,60,72,4
AM Salvi,25,205,67,76,72,42,7
K Santokie,8,91,19,27,24,36,3
BE Hendricks,25,239,61,86,96,42,9
Gurkeerat Singh,13,97,30,51,24,18,5
JJ van der Wath,12,134,35,21,68,36,3
R Ninan,6,65,8,23,12,30,3
J Syed Mohammad,32,286,54,135,72,72,8
K Khejroliya,16,157,35,51,36,60,3
SB Bangar,25,221,60,74,96,42,4
S Midhun,2,29,5,6,8,12,0
RS Gavaskar,1,8,2,4,4,0,0
AA Noffke,4,41,8,15,8,12,1
CL White,7,86,12,25,20,36,1
M Manhas,7,42,15,28,8,6,0
PD Collingwood,15,101,25,66,16,18,5
AF Milne,18,185,44,52,84,30,4
TL Suman,25,198,45,103,32,60,6
P Ray Barman,4,56,2,20,12,24,0
DNT Zoysa,11,100,26,30,48,18,2
D Kalyankrishna,8,88,13,29,32,24,2
P Suyal,16,154,48,46,64,30,2
JP Behrendorff,19,168,57,38,76,48,5
AS Joseph,9,89,28,14,40,30,6
T Natarajan,13,116,31,43,36,30,2
AS Raut,5,45,7,22,16,6,0
MK Lomror,3,27,2,15,12,0,0
C Nanda,8,58,16,39,4,12,2
T Shamsi,16,151,30,53,52,42,3
Shoaib Ahmed,17,154,36,53,56,42,5
SM Harwood,10,74,41,25,24,12,3
L Ablish,7,76,14,22,44,6,3
L Ngidi,26,162,86,61,52,36,11
KM Asif,6,75,18,9,28,36,3
RR Bhatkal,2,35,0,9,8,18,0
SPD Smith,1,5,0,1,4,0,0
Avesh Khan,26,259,66,57,88,108,5
GC Viljoen,23,229,55,74,100,36,7
MJ Santner,14,94,40,43,28,12,4
MA Wood,4,50,7,12,24,12,0
DJ Willey,10,96,21,28,48,18,2
S Sandeep Warrier,12,86,31,34,32,18,2
RV Gomez,16,130,39,46,40,42,5
SE Rutherford,7,60,13,32,16,6,1
Rasikh Salam,4,42,9,15,12,12,0
C Ganapathy,1,13,1,3,4,6,0
AJ Finch,8,67,14,26,16,24,1
GH Vihari,7,48,19,20,20,6,1
S Vidyut,2,22,6,5,4,12,1
S Rana,3,18,5,10,8,0,0
S Sriram,3,49,2,9,16,24,0
NL McCullum,5,35,11,18,4,12,0
S Dube,2,8,4,7,0,0,0
CJ McKay,7,60,14,22,32,6,1
LMP Simmons,3,34,2,14,8,12,1
SR Tendulkar,6,59,6,27,24,6,0
GS Sandhu,8,86,10,38,32,12,1
RA Shaikh,1,11,1,3,8,0,0
AUK Pathan,7,63,11,25,20,12,0
CJ Dala,3,34,8,9,12,12,0
A Choudhary,17,144,49,49,52,36,5
SM Boland,7,56,16,23,24,6,2
Harpreet Brar,5,48,7,18,12,18,0
SS Sarkar,5,34,4,18,16,0,1
TM Head,9,81,7,39,12,30,2
SA Abbott,5,57,8,17,32,6,0
CV Varun,3,35,8,5,12,18,1
SC Kuggeleijn,8,71,19,27,24,18,2
Y Prithvi Raj,5,57,11,18,24,12,1
O Thomas,10,85,24,34,36,6,5
Sunny Gupta,3,47,1,11,16,18,0
RR Bose,2,24,5,4,20,0,0
LS Livingstone,1,13,3,1,0,12,0
SD Chitnis,6,62,13,20,16,18,2
BMAJ Mendis,5,36,11,16,8,12,1
A Dananjaya,4,47,7,14,8,24,0
D du Preez,7,56,18,25,24,6,4
NJ Rimmington,3,20,10,7,12,0,0
AC Gilchrist,1,0,1,0,0,0,1
SS Agarwal,4,42,7,12,12,18,1
NB Singh,4,18,17,6,8,0,1
I Malhotra,1,23,0,3,8,12,0
B Chipli,1,20,1,4,4,12,0
SA Yadav,1,8,2,4,4,0,0
Tejas Baroka,4,33,6,13,8,12,0
KS Williamson,1,7,2,3,4,0,0
Harmeet Singh (2),4,34,13,9,12,12,1
Mashrafe Mortaza,4,59,10,14,16,24,0
Sachin Baby,2,8,5,4,4,0,2
AS Roy,2,11,7,8,0,0,1
RW Price,3,33,1,13,8,12,0
F du Plessis,1,16,0,4,0,12,0
DJ Harris,3,26,4,12,8,6,0
FY Fazal,2,20,1,10,4,6,0
BJ Rohrer,1,12,2,3,8,0,0
DB Ravi Teja,3,28,4,12,4,12,1
LPC Silva,1,21,0,3,0,18,0
Abdur Razzak,2,29,6,5,12,6,0
LA Carseldine,1,6,5,1,4,0,1
DAJ Bracewell,4,32,11,11,8,12,3
SS Mundhe,1,6,5,1,4,0,1
